,clean_text
1761,"<mark> Normally it would be the Chairman of the Committee who would be speaking in this debate on behalf of the Committee, but the hon</mark>"
1762,"<mark> Dame Laura Cox, in her 2018 report on bullying and harassment of House staff, recommended that Members of Parliament should not be involved in adjudicating on their own colleagues accused of these very serious offences</mark>"
1763,"<mark>New clause 2 and amendment 1, which stand in my name and are kindly supported by the hon</mark>"
1764,"<mark> That is exactly what happened at Wessex Foods in Lowestoft 11 years ago, in July 2011</mark>"
1765,"<mark> I should therefore be grateful if the Minister gave serious consideration to accepting new clause 2 and amendment 1, so that the Building Act can be amended to provide for the protection of property</mark>"
1766,"<mark> They are a silent killer and claim the lives of over 700 people every year, as well as thousands more who suffer injuries and lose their independence</mark>"
1767,<mark> A British standard already exists that reduces falls by a staggering 60% British Standard 53951</mark>
1768,"<mark> The Government will argue that our focus should be outcomebased rather  than legislating on method, but I might point to regulation 7 of the building regulations, on combustible materials, which is in itself descriptive and sets out how the industry must achieve that particular regulation</mark>"
1769,"<mark> If the outcome that we are all aiming for is safety of stairs, then the status quo is simply not working, and hundreds of people are dying every year from something that could so easily be prevented I refer back to the 60% figure</mark>"
1770,"<mark>I rise to speak in support of new clauses 1, 2, 15, 16 and 23</mark>"
1771,"<mark> Friend the Member for Sheffield South East Mr Betts,  and amendment 1, tabled by the hon</mark>"
1772,"<mark> As he will no doubt be aware, concerns were raised that the plans for Ballymores proposed 51storey development in Cuba Street in my constituency included only a single fire escape for a building that would have been two and half times the height of Grenfell tower</mark>"
1773,"<mark> Not only landlords of highrise blocks but social landlords and resident leaseholders need to do this, and the cost is estimated to be about £30 a year per flat</mark>"
1774,"<mark> Less than a year before Grenfell, in August 2016, there was a very serious fire, less than 1 mile from where Grenfell Tower stands, at Shepherds Courtan 18storey blockin my constituency</mark>"
1775,<mark> Some 5</mark>
1776,"<mark>5 million of that particular type of faulty washerdryer were manufactured, and hundreds if not thousands of fires across the country, some obviously in highrise buildings, have been caused by that</mark>"
1777,"<mark> Indeed, over half53%of all accidental dwelling fires are caused by electrical sources of ignition</mark>"
1778,"<mark> I will first deal briefly with several of the nonGovernment amendments selected, before taking the opportunity to ask the Minister several specific questions relating to  Government new clause 19, new schedule 1 and various other amendments relating to special measures and protections against forfeiture</mark>"
1779,<mark> This directly relates to our previous debate on part 5</mark>
1780,"<mark> No provisions prohibiting forfeiture would be necessary if the House had accepted any amendment, whether it be new clause 3, new clause 13 or potential forthcoming Government amendments, that provides sufficiently robust legal protection for leaseholders in all circumstances</mark>"
1781,<mark> Proposed new paragraph 9 is a new provision that provides for a financial management proposal</mark>
1782,"<mark> 11, 12, 16 to 28, 31 and 32, 36, 40, 61, 63 and 70are consequential amendments that make changes relating to special measures due to the provisions now appearing in new schedule 1</mark>"
1783,"<mark> Four technical amendments are consequential to amendment 1, which I introduced earlier, relating to the new homes ombudsman</mark>"
1784,"<mark> Amendments 66 and 67 adjust the territorial extent of the provisions about the new homes ombudsman scheme now that that the scheme will operate across Great Britain, and territorial extent issues are also dealt with in new schedule 2, which contains a consequential amendment related to the new homes ombudsman</mark>"
1785,"<mark> Amendment 64 provides that the consequential amendments in schedule 5 relating to the Parliamentary Commissioner Act 1967an Act we all know welland the Freedom of Information Act 2000 extend to all of England, Wales, Scotland and Northern Ireland</mark>"
1786,<mark> That left them facing bills for tens of thousands of pounds</mark>
1787,<mark> We know that is a problem in hundreds of buildings</mark>
1788,"<mark>It is nearly five years since the tragic events at Grenfell Tower, yet thousands of my constituents in Salford and Eccles still live in fear</mark>"
1789,<mark> Prospective suppliers bidding for contracts above £5 million a year must now have committed to the Governments target of net zero by 2050 and have published a carbon reduction plan</mark>
1790,"<mark> Certainly, the provision of funds for cladding removal, the initial move on the ACM cladding, the £1 billion and the extension of the building safety fund to £5 billion have all been welcome</mark>"
1791,"<mark> They were horrified to be told that FirstPort intends to recover the estimated £4,912,000 for repairs from the leaseholders if the application to the building safety fund is not successful</mark>"
1792,"<mark> That will mean that constituents such as the single working mother who paid £60,000 for a 25% share of her property will be lumbered with a repair bill of £110,000</mark>"
1793,"<mark> I have more than 1,000 constituents living in dangerous homes</mark>"
1794,<mark> It is time to enact in practice provisions that the House of Commons passed in lawineffectivelyin 2002</mark>
1795,"<mark> Will he support me in asking the Government to get together with the technical sides of the insurance companies and the Competition and Markets Authority to get those insurance premiums back down to what they were before so that leaseholders may pay £300 a year to insure a building they do not own rather than £3,000 a year</mark>"
1796,"<mark> That has been the case since August 2016 when there was a very serious fire at Shepherds Court in my constituency, which I spoke about earlier today</mark>"
1797,"<mark> We have now had a recent announcement from the new Secretary of StateI hope I have understood this correctlythat there will be a request to private developers to provide £4 billion, with a veiled threat of enforcing that in some as yet unspecified way, in order to deal with buildings between 11 and 18 metres</mark>"
1798,<mark>I start by paying tribute to the many hundreds of Vauxhall residents who have contacted me in my short two years as Member of Parliament for Vauxhall</mark>
1799,"<mark> At every stage of my continued efforts on behalf of Vauxhall leaseholders going through that anguish and uncertainty over the last two years, the Bill has been held up by the Government as the solution that would finally bring an end to this crisis</mark>"
1800,<mark> Where does that leave the millions of leaseholders caught up at various points along the way of that lengthy scandal What does the Bill do to empower leaseholders who had their assessment before the recent changes in Government policy and believe that unnecessary work has been recommended for their building Where is the help for leaseholders whose flats are unsellable until that remediation work is complete but who have been told that they will have to wait many years They are trapped</mark>
1801,"<mark> As I suggested on Report, it is not preempting the Grenfell Tower inquirys conclusions to state that the horror of that dreadful June night in 2017 was the product not only of pernicious industry practice but of state failure a failure that involved successive Governments presiding over a deficient regulatory regime, and a failure to act on repeated and clear warnings about the potentially lethal consequences of that fact</mark>"
1802,"<mark> When we started our campaign about 18 months ago, the Governments original offer was around £20 million to deal with these issues</mark>"
1803,"<mark> After the statement from the Secretary of State last week, we are now on course to have more than £9 billion of Government support, with probably another £100 million for waking watch, alarms and a variety of other issues</mark>"
1804,"<mark> Tonight, millions of leaseholders up and down the country, many with huge mental health issues and facing massive financial ruin, have hope</mark>"
1805,<mark> That hope encourages us to believe that we may finally come to a position where we can resolve things for those millions of leaseholders</mark>
1806,"<mark> At Vista Tower in my constituency, which has more than £15 millionworth of remediation costs, the fire breaks are missing</mark>"
1807,"<mark> With all the technical details, that campaign has demonstrated how complicated this issue is and the many millions of people and tens of thousands of buildings it affects in many different ways</mark>"
1808,"<mark> Will the Government be prepared to provide support so that those leaseholders can take action against the original developers, or will the Government take the action on their behalf, because a lot of these leaseholders have been going through this for a number of years and no longer have the mental resilience or ability to take these fights on and take legal actions for the next five or 10 years in the courts Will the Minister provide further support to those leaseholders Will he agree to continue to meet and work with me so that we can ensure that leaseholders are not held responsible and they are the innocent parties throughout this crisis</mark>"
1809,"<mark> In a modern liberal democracy, living in a home where you feel safe should be a basic human right, but sadly, for thousands of people up and down our country, this most reasonable of expectations does not tally with their current experience</mark>"
1810,"<mark> This Bill is going to right that wrong by replacing an outdated building system with one that is attuned not just to where we are in 2021 but to how we protect people in 2031, 2041 and for many years beyond</mark>"
1811,<mark> Member for Vauxhall Florence Eshalomi; and many others who have worked so very hard to on behalf of their constituents to make sure that their concerns are addressed</mark>
1812,"<mark>I shall speak to Opposition new clause 3 and to the amendments that, although they will not be pressed to a vote this evening, would protect leaseholders from the costs of not only cladding removal, but the remediation of noncladding defects</mark>"
1813,"<mark> It seems to me that someone who has profited from, for example, charging a building in my constituency an insurance premium of £700,000 in total, which has never come down, has some big questions to answer</mark>"
1814,"<mark> First, around half of the buildings in my constituency that have difficulties associated with them have noncladdingrelated problems</mark>"
1815,"<mark> Indeed, in Queens Wharf in Reading town centre, the building owners estimate that nearly £1 million of work needs to be carried out</mark>"
1816,"<mark>The principle that leaseholders should not have to pay for issues that are not their responsibility, as they bought properties in good faith, was first established in the Select Committee report in July 2018</mark>"
1817,<mark> Members who have been here long enough will remember that I took the Mesothelioma Act 2014 through this House</mark>
1818,"<mark> Originally, we gave the victims 80% of the compensation that they would have got through the courts</mark>"
1819,"<mark> Eventually, we gave them 100%</mark>"
1820,"<mark> When we come to part 5, Mr Deputy Speaker, I hope to catch your eye again</mark>"
1821,<mark> This new clause amends Part XVI of the Housing Act 1985 originally enacted as the Housing Defects Act 1984 to empower the government and local authorities to designate dwellings with cladding and fire safety defects as defective and to provide grant support for remediation</mark>
1822,<mark> It places a timelimited duty on the Secretary of State to consider making designations under Part XVI of the Housing Act 1985 to provide funding for cladding and fire safety remediation and for Parliament to approve the plans for doing so</mark>
1823,<mark> Removing subsection 5 removes the material risk a court may construe clause 128 in a way that means it has no practical benefit and will lead to years of costly litigation for leaseholders</mark>
1824,"<mark> This is the first group of amendments, new clauses and new schedules that relates to part 5 of the Bill</mark>"
1825,<mark> Members should not make general speeches about how they feel about the Bill at this point; this part of the proceedings very specifically relates to part 5</mark>
1826,"<mark> Gentleman, suggest to the Government that between now and the House of Lords they consider taking a right to take the potential claims by the landlords on behalf of leaseholders into a public agency which can make a public claim against the developers, builders, architects, surveyors, building specification and building controllers, so that money can be brought back from those who were responsible, not the innocent leaseholders who are not</mark>"
1827,"<mark> I have no intention of seeking to reprise them this afternoon, but before I turn to part 5 of the Bill and the consideration of the amendments related to it, I feel it is incumbent on me briefly to restate why we believe this legislation is so important</mark>"
1828,"<mark> To the extent that the Bill delivers on the recommendations of Dame Judiths report, we remain supportive of it and want to see a version of it on the statute book as soon as possible, given that four and a half years have elapsed since the Grenfell tragedy; however, the House knows we have serious concerns about what is missing from the Bill, and particularly its failure as drafted to provide robust legal protection for leaseholders facing ruinous costsa point already made by several hon</mark>"
1829,"<mark> The Minister should note that, with some minor tweaks, our new clause 3 would achieve that</mark>"
1830,"<mark> In fairness to the Government and the Minister, we now have over £9 billion of Government support put forward with other funds on top, so it would be churlish of us, with the very technical amendments I am going to speak to shortly, to try to hold the Government to these specific issues</mark>"
1831,<mark> New clause 21 makes sure that the devolved Administrations are not restricted from bringing forward legislation to alter the ombudsmans statutory functions in relation to that territorys future by disapplying a restriction in the Government of Wales Act 2006</mark>
1832,"<mark> That is why we have proposed adding section 4B4 to the Limitation Act 1980 through clause 128, which will ensure that there is always a minimum amount of time to lodge a claim under section 1 of the Defective Premises Act for buildings whose limitation periods will be revived for a very short period of time</mark>"
1833,"<mark> That means that those in any buildings completed between mid1992 and mid1993 will always have one full year in which to lodge their claim, once this Bill and its provisions apply</mark>"
1834,"<mark> Friend the Member for Worthing West Sir Peter Bottomley, referred to the Defective Premises Act 1972</mark>"
1835,"<mark> I would say to him that quite apart from the body of case law that exists with respect to the 1972 Act, and quite apart from the fact that even if a company has become defunct directors can still be held liable for the decisions made, as it were, on their watch, the challenges that he has described are the sorts of things that we will want to discuss in this place and in the other place, across parties, to ensure that such challenges are addressed</mark>"
1836,<mark> That means that the EU will now have a 25% price advantage over UK steel and aluminium exports to the US</mark>
1837,"<mark>At the start of last month, I wrote to the Secretary of State about those steel tariffs, which have been in place since 2018 and have already done great damage</mark>"
1838,"<mark> In 2017, exports of steel and aluminium to the United States were more than 350,000 tonnes</mark>"
1839,"<mark> The UK accounts for less than 1% of US steel and aluminium imports in volume terms, so UK imports do not affect the viability or the national security of the US steel or aluminium industries</mark>"
1840,"<mark> It supplies thousands of subframes every day to motor  manufacturers worldwide, but it has outlined to me concerns that have been raised with it by European companies about the rules of origin and potential tariffs on goods supplied from the UK</mark>"
1841,"<mark>In her answer to the urgent question, the Minister mentioned the £286 million of aid that we are giving to Afghanistan</mark>"
1842,"<mark> The amount has been doubled after being halved the previous year, which is fine, but in her response to another urgent question last week, the Minister confirmed that only half that money£145 millionhad actually been disbursed</mark>"
1843,"<mark>In addition to British Council staff, many of us have thousands of constituentsin my case, up to 150who have relatives and friends who have worked for the British in Afghanistan and who are in terrible need of resettlement to this country</mark>"
1844,"<mark> That included over 8,000 British nationals, and close to 5,000 Afghans who loyally served the UKincluding British Council employeesalong with their dependants</mark>"
1845,"<mark> We are coordinating closely with international partners, and have doubled our aid to Afghanistan for this financial year to £286 million, which will be used to provide the vital humanitarian assistance that will save lives this winter</mark>"
1846,"<mark> As I set out earlier, we have doubled our aid for Afghanistan for this financial year to £286 million, which will be essential to providing humanitarian assistance for those most in need</mark>"
1847,"<mark> The Government have already evacuated thousands of women and girlsfor instance, female judges, womens rights activists and a girls football team</mark>"
1848,"<mark> We have doubled the aid for this financial year to £286 million, which will be used to ensure that we get that humanitarian assistance to those on the ground</mark>"
1849,<mark> More than 20 million people are facing the prospect of starvation in Afghanistan and the situation could not be more urgent</mark>
1850,"<mark> In relation to the Ministers earlier responses, could she tell the House how much of the £286 million of aid promised in this financial year has been disbursed so far</mark>"
1851,"<mark>For every £490 of Brexit damage, CPTPP should recover about £8 of it, but that is at risk if the UK patent attorneys membership of the European Patent Organisation is undermined or removed</mark>"
1852,<mark> He is right it is an £8</mark>
1853,<mark>4 trillion market that we are opening up</mark>
1854,"<mark> Friend is absolutely right; the pay for people working in those sectors is about 50% higher than the UK average, so the more jobs we can create in those growth sectors, the better</mark>"
1855,"<mark>9% of the businesses in his constituency that export will benefit from CPTPP, and I look forward to the day when he welcomes that</mark>"
1856,<mark> Friend the Member for Darlington Peter Gibson on the successful passage of his Bill a halfhour or so ago</mark>
1857,"<mark> I fervently hope that  in half an hours time, I will be offering the same congratulations to my hon</mark>"
1858,"<mark> Friend said in his speech today, 80% of crime that involves cautions or convictions involves repeat offences</mark>"
1859,"<mark> Good intentions and strategies need to be backed up by Government investment, and nearly £900 million of additional funding is being put in over the next three years, which brings the total up to £3 billion</mark>"
1860,"<mark> With more than 2,000 bed spaces, it is important for there to be a comprehensive drugs strategy for the approved premises estate</mark>"
1861,"<mark> Members may be aware, around 80% of crime that receives a caution or conviction is committed by a repeat offender</mark>"
1862,"<mark> Indeed, Dame Carol Blacks review of drugs estimated that the total cost of harms related to illicit drug use in England was more than £19 billion in 201718</mark>"
1863,"<mark> Drugrelated crime was the main driver of the total costs, with recorded offences committed in England by drug users amounting to £9</mark>"
1864,<mark>3 billion in that period</mark>
1865,"<mark> HMPPS estimates that when it implements the change in testing, it will cost approximately £1</mark>"
1866,<mark>2 million per year to carry out the enhanced testing regime with residents of approved premises</mark>
1867,"<mark> The current annual budget for drug testing in approved premises is £350,000, so the implementation of this Bill would see an increase of some £850,000</mark>"
1868,"<mark> However, it is worth bearing it in mind that the Ministry of Justice has indicated that it has evidence that shows that drug treatment provides a return to society of £4 for every £1 that is invested, and that increases to a return to society of £21 over a period of 10 years</mark>"
1869,"<mark> Let us look at what the Mayor of London is doing an extra 1,300 police officers and £70 million for opportunities for disadvantaged young people</mark>"
1870,"<mark> The reoffending rate for people using the London Womens Diversion Service, which the Mayor of London funds, is just 7% versus the national average of, I think, 23</mark>"
1871,<mark>3%</mark>
1872,"<mark> Following over a decade of Tory Government, drug use in prisons has increased by 500%</mark>"
1873,"<mark> There has been a 12% drop in inmates enrolling in drug and alcohol courses over the last four years, with fewer offenders taking these programmes</mark>"
1874,<mark> And what of the Justice Secretarys flagship programme of introducing £1 million Xray scanners in all mens prisons They are detecting only a quarter of the number of contraband items being found in manual checks by prison officers</mark>
1875,"<mark> The perilous state of our prisons means that a third of adults released  from custody go on to reoffend within a year, costing the taxpayer £18 billion and meaning that we are less safe on our streets</mark>"
1876,"<mark> Under clause 1 of the Bill, approved premises managers can authorised assisted premises staff to ask for and require a urine sample from any resident, rather than an oral fluid testa provision already in place elsewhere in the system</mark>"
1877,<mark> I was glad to hear reassurances during the Bill Committee that clause 1 also ensures that the first step will be to provide guidance and assistance for those found to have drugs or other illicit substances in their bodies</mark>
1878,"<mark> It builds on the recommendations of the prisons and probation ombudsman, which in 2017 called for more effective drug testing practices and better staff guidance to identify and address the risks associated with substance misuse</mark>"
1879,<mark> The strategy is underpinned with total investment of £3 billion in combating drugs over the next three years</mark>
1880,<mark> A recent internal survey of approved premises staff found that more than 50% of them felt that prescription medication was a problem</mark>
1881,"<mark> Without exaggeration, I counted, they can go off every 10 minutes between 6 pm and midnight</mark>"
1882,<mark> Sometimes at 1 am</mark>
1883,<mark> 1011WH</mark>
1884,"<mark> A fixed penalty charge notice just does not cut it as a deterrent or a punishment when fireworks can often cost many hundreds of pounds, and it does not reflect the negative impact on our communities</mark>"
1885,<mark> Limiting the noise to 90 dB and reviewing who can sell and use fireworks will go a long way to solving the issues faced by residents in Luton North and thousands of other people across the country</mark>
1886,"<mark> Could this new power fall foul of article 8 of the European convention on human rights, and if so, what would be the consequences of this</mark>"
1887,"<mark> Friend the Member for NewcastleunderLyme Aaron Bell who stewarded the Prisons Substance Testing Act 2021 through the House on behalf of Dame Cheryl Gillan, when it was in fact my hon</mark>"
1888,<mark> A Formula 1 race typically reaches 140 dB</mark>
1889,"<mark> We have already allocated £976 million of funding from the building safety fund, and will open the next phase early this year</mark>"
1890,<mark> We will also be providing an additional £3</mark>
1891,<mark>5 billion to cover the cost of addressing fire safety risks caused by unsafe cladding on all eligible buildings</mark>
1892,<mark> A further £27 million is being allocated to bring the misuse of waking watches to an end</mark>
1893,"<mark> That is on top of the current £35 million fund, which is already being used for 323 buildings and nearly 25,000 leasehold homes</mark>"
1894,"<mark> We estimate that that fund will save leaseholders an average of £163 each month, and we expect to open the expanded fund very shortly</mark>"
1895,<mark> Friend the Secretary of State will introduce an amendment to  the Building Safety Bill to extend the right of homeowners to challenge defects under the Defective Premises Act 1972 in homes that are up to 30 years old</mark>
1896,"<mark>5 million of funding approved for ACM and nonACM cladding remediation, and works are in progress, with ACM cladding expected to be removed by the end of April this year</mark>"
1897,"<mark> Remediation has been completed for 1, 3, 5 and 7 Eastfields Avenue</mark>"
1898,"<mark> For Coptain House and Mandel House, £6</mark>"
1899,<mark>9 million of funding has been approved for nonACM cladding remediation</mark>
1900,"<mark> For 5D Enterprise Way, £1</mark>"
1901,<mark>5 million of funding has been approved for nonACM cladding remediation</mark>
1902,"<mark> The buildings at 2, 6 and 8 Hardwicks Square are eligible for funding under the building safety fund and pretender support has been paid to facilitate the appointment of a project team for them</mark>"
1903,"<mark> In December, Lord Greenhalgh and officials met the National Housing Federation and Optivo, which has committed to reviewing all remediation requirements following the withdrawal of the consolidated advice note and the publication of PAS9980 last week</mark>"
1904,"<mark> And you are asked to stump up £50,000 or more to get it fixed</mark>"
1905,"<mark> I had hoped I could use the capital from my flat I own 25%, Notting Hill Genesis own 75% to either fund future hospice care or transfer to sheltered housing However, I am unable to sell this flat, and am pretty much trapped here</mark>"
1906,"<mark> Unsafe cladding was discovered, following an EWS1 assessment in 2018, in which it scored a B2 rating</mark>"
1907,"<mark> They are paying for waking watch to the tune of £45,000 a month and have had an eyewatering 500% insurance hike</mark>"
1908,<mark> Yet residents have been told they face costs of around £1 million for remediation works</mark>
1909,"<mark> To give perspective, in two years that fund has only funded 18 out of the 1,000 buildings that need workthat is 1</mark>"
1910,<mark>8%</mark>
1911,"<mark> But at the exact same time, we saw the UK gain a record number of billionaires, and it now stands at 171</mark>"
1912,"<mark> Those billionaires do not have to worry about spending money on food or fuel, about how they will afford rent, or about losing their jobs</mark>"
1913,<mark> I was inundated with correspondence from constituents  when the Government made the horrific decision to cut universal credit by £20 a week</mark>
1914,"<mark> They are expensive to run, and his running costs are over £60 a week</mark>"
1915,"<mark> By comparison, according to Usave, the average cost for heating a onebed flat is about £29 a month</mark>"
1916,"<mark> One option to tackle fuel poverty could be reducing VAT on energy bills, which would save about £90 per customer and is backed by some in the industry</mark>"
1917,"<mark>3 billion in fraudulently claimed covid business funding, which has today caused Lord Agnew to resign at the Dispatch Box, is a very different approach from that taken by the DWP when it makes mistakes resulting in overpayments, which causes huge hardship to those affected</mark>"
1918,<mark> Consumer prices were 5</mark>
1919,<mark>4% higher in December 2021 than the year before</mark>
1920,"<mark> It is the highest inflation rate recorded since 1992, and it is forecast to carry on rising</mark>"
1921,"<mark> Domestic gas prices increased by 28% between January and November last year, and electricity by 19%</mark>"
1922,<mark> Headline figures say that food prices increased by 4</mark>
1923,"<mark>2% in the year to December, but she looked further</mark>"
1924,"<mark> Since this time last year, the cheapest pasta in her local supermarket went up by 141%</mark>"
1925,"<mark> Similarly, rice is up by 344%</mark>"
1926,"<mark>8 million women born in the 1950s who were cruelly robbed of their pensions by the Government, who are still being unfairly denied full restitution for their loss and who continue to suffer an appalling injustice</mark>"
1927,"<mark> I also mention the 3 million people, mainly selfemployed and directors of small limited companies, whom the Chancellor callously excluded from any financial support during a pandemic</mark>"
1928,"<mark> I also urge the Government to take steps to reduce those levels of poverty and spiralling debt in the rest of the United Kingdom by introducing measures such as we have in Scotland, including the gamechanging £20 child payment, the 1,140 hours of free childcare a year for eligible children, free prescriptions, free sanitary products for women and girls, free bus travel across the country for everyone over 60 and the disabledbriefly expanded to include young people between the ages of five and 21 and free university tuition in our worldclass universities for our young people</mark>"
1929,"<mark> Spending could be stopped on vanity projects, including the new royal yacht, or on the refurbishment of Buckingham Palace, estimated at £360 million</mark>"
1930,<mark> There was also the shambolic process that resulted in the loss of £4</mark>
1931,<mark>3 billion to fraud during the pandemic being written off by the Chancellor</mark>
1932,"<mark> While inflated Tory egos jockey for position in a power struggle for the worst of possible reasons, the cost of realworld inflation is being felt across these islands as millions struggle to fund the power they need to heat their homes</mark>"
1933,"<mark> What a dismal situation it is where more than one in three Scots are already in crisis with energy costs soaring by up to 28%, but there are more price hikes and more pain still to come</mark>"
1934,"<mark> Since 2014, the cost of the Union has been to rip Scotland from Europe against our democratic will, damaging our freedoms, impacting our economy and driving European friends away from their homes</mark>"
1935,"<mark> We have suffered the bedroom tax, the benefit cap, the rape clause, universal credit cuts, and Ministers acting unlawfully, while obscene billions of pounds have been lost or written off on covid contracts and schemes</mark>"
1936,"<mark>The House divided Ayes 57, Noes 0</mark>"
1937,"<mark> We have heard a great deal about oil and gas imports, and it is true that 87% of the price cap increase is due to increased gas prices, with the remainder due to supplier failure</mark>"
1938,"<mark> Inflation, reflecting the confluence of factors at play in the crisis, is running at 5</mark>"
1939,<mark>4%the highest it has been in nearly 30 years</mark>
1940,"<mark> Indeed, in Wales as a whole about 80% of people have to commute by car</mark>"
1941,<mark> At the autumn Budget I called on the Chancellor to make a £3</mark>
1942,"<mark>6 billion investment over 10 years, in conjunction with the Welsh Government and the private sector, to improve home insulation in Wales</mark>"
1943,"<mark> A report by the Future Generations Commissioner for Wales has suggested that with such a package of investment over 10 years we would be able to end fuel poverty in Wales, producing average annual savings of £418</mark>"
1944,"<mark>Given the increases in energy costs, can the Chief Secretary tell us how much extra VAT the Treasury is taking, what extra oil and gas revenues are coming in and how much extra is coming in from the increased price of petrol at the pumps Why are the Government not using that money to mitigate costs for the 6 million households that will be plunged into fuel poverty when the cap rise kicks in in April</mark>"
1945,"<mark> Member is on the action of the Scottish Government, I presume he is going to commend them for bringing forward the £20 a week child payment as one way to help to mitigate the poverty being imposed by Westminster</mark>"
1946,"<mark> In which case, why did Labour vote for the Nuclear Energy Financing Bill, the impact statement for which said that it could add up to £63 billion to household energy bills How on earth is that helping people with the energy crisis</mark>"
1947,"<mark> Tinkering at the edges, such as delaying the impact of the £2 billion administration costs of 28 energy companies going bust, is not enough</mark>"
1948,"<mark> In UK Government policy, the Tories have already made matters worse for those who are strugglinga cut in pensions of more than £500 per year, the removal of the £20 a week universal credit upliftand that in the midst of the cost of living crisis, with inflation at a 30year high and household incomes dropping in real terms by up to £1,200</mark>"
1949,<mark>7 billion for the development of Sizewell C</mark>
1950,"<mark> In their own impact assessment, they estimated costs of as much as £63 billion being added to our energy bills</mark>"
1951,"<mark> Worse, many customers are on what are called restricted meters, so they pay about £400 more per annum for their energy, due to a 4p surcharge per unit of electricity</mark>"
1952,"<mark> As for the North sea, the November Budget confirmed that this year alone the Treasury would receive an extra £1</mark>"
1953,"<mark>1 billion in oil and gas revenues, or £6 billion over the lifetime of the Parliament</mark>"
1954,"<mark> It is astounding that the Chief Secretary to the Treasury does not seem to understand that 5% of £2,000 is twice the value to the Treasury as 5% of £1,000</mark>"
1955,"<mark> The Scottish Governments child winter heating assistance supports 14,000 families with disabled children through automatic payments of £200 a year</mark>"
1956,"<mark> The low income winter heating assistance will help 400,000 lowincome households with £50 every winter, instead of complicated cold weather payments of £25</mark>"
1957,<mark> For families there is a gamechanging £20 per week child payment; compare this with the hapless £20 a week universal credit cut</mark>
1958,"<mark> If that decision has to be made by one person, that is one person too many, but, under this Government, millions of people are having to make that decision</mark>"
1959,<mark> Energy bills are to rise by 40%on average by £700 per householdshortly</mark>
1960,"<mark> The Chancellor is planning the largest tax hike in living memory, taking the tax burden on working people to its highest since 1950</mark>"
1961,"<mark> In the past year, Citizens Advice Scotland has seen a 38% increase in the number of people coming to it for advice about  being unable to pay their mortgage</mark>"
1962,<mark> Polling conducted on behalf of the same organisation found half a million Scots cutting back on their food spending in order to pay their energy bills this winterbefore those huge rises</mark>
1963,"<mark> The food blogger, Jack Monroe, who rose to fame with recipes showing how to cook family meals for less than £10 a week, highlighted that on social media over the weekend</mark>"
1964,"<mark> They gave examples of the cost of the cheapest pasta in the local supermarket rising by 141% in the past year, the cost of the cheapest bag of rice rising 344% and the cost of baked beans rising 45% year on year</mark>"
1965,"<mark> In the UK in 2022, nobody should have to choose between heating and eating</mark>"
1966,<mark> Let us remember that they voted to cut the £20 a week universal credit uplift for the poorest in this country and refused to feed school kids in the holidays</mark>
1967,"<mark> The only response to the crisis from the Government so far, in all the noise of partygate and everything else, was when they snuck out a £4</mark>"
1968,"<mark>3 billion fraud writeoff from covid funds and business loans, which was branded nothing less than woeful by their very own antifraud Minister, Lord Agnew, shortly before he resigned at the Dispatch Box a few hours ago in the other place</mark>"
1969,"<mark> Indeed, we campaigned for the £20 child payment for some time in the Scottish Parliament and were delighted that the Scottish Government eventually introduced it</mark>"
1970,"<mark> However, it is a key, targeted intervention that helps to address child poverty, so what we would like nowall the Scottish charities are saying thisis for it to be doubled to £40 a week</mark>"
1971,"<mark> Young children and families in Scotland might be wondering why the Scottish Government will not listen to charities or, indeed, to Scottish Labours policy and increase the Scottish child payment to £40 a  week</mark>"
1972,<mark> The underwriting of the Gupta organisation puts half a billion pounds on to the taxpayer of Scotland</mark>
1973,"<mark> In 2016, we agreed on a crossparty basis to the devolution of a whole host of welfare powers to the Scottish Parliament</mark>"
1974,"<mark> In fact, they will take until 2025 to take full control of the devolved powers</mark>"
1975,"<mark> The newly announced Scotland projects could generate billions of pounds of economic activity in Scotland, so every single job created should be in Scotland, with fabrication plants, British Steel and others</mark>"
1976,"<mark> They could  bring in a motion now to sort out this problem, with fully funded measures to reduce the expected price rise in peoples energy bills in April through a VAT cut on home energy bills that would save most households £200 or more, and targeted extra support for the squeezed middle, pensioners and the lowest earners, who would receive £600 off their bills, paid for by a oneoff windfall tax on the North sea oil and gas producers who have profited from the price rises</mark>"
1977,"<mark> Under Labours plan, every household in Scotland would save more than £180 off their energy bills, and 800,000 households in Scotland struggling with the cost of living would get an extra £400 in additional support</mark>"
1978,<mark> That is nearly £600 for those hardest hit by the energy price risescritical money into the pockets of hardpressed Scots now</mark>
1979,"<mark> To go to work, if they are in a noncompliant vehicle, they will have to pay £10 a day, which will be devastating, while lorry drivers will have to pay £60 a day</mark>"
1980,"<mark> Any lorry driver who wants to have his or her breakfast in that caf will have to pay a £60 congestion charge, which is ludicrous</mark>"
1981,"<mark> That hardship fund has not been defined, but estimates of the funding required are in the region of £2</mark>"
1982,<mark>2 billion to £2</mark>
1983,<mark>5 billion  of income</mark>
1984,"<mark> Member for Glasgow East David Linden, who led the debate, is a passionate campaigner for combating poverty in his constituency and around the country, and I know how hard he works on behalf of his constituents to alleviate the burden that so many people find themselves under across this country</mark>"
1985,"<mark> Maybe they are laughing at the SNPs growth commission, which said that creating a separate state in Scotland would cost £450 million</mark>"
